"Species","variable","col_Stephan","col_wide","Stephan","volumes_wide","pct_diff","status","on_tree"
"Homo_sapiens","Insular cortex (grey)","Total_insula_volume_L","Insula_left_Vol.mm3",6165,6479,5.09,"DIFFERENT","yes"
"Saguinus_midas","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",9942.08,9569,-3.75,"DIFFERENT","yes"
"Hylobates_lar","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",12078,11625,-3.75,"DIFFERENT","yes"
"Homo_sapiens","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",15247.5,14787,-3.02,"DIFFERENT","yes"
"Cheirogaleus_major","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",6563.71,6373,-2.91,"DIFFERENT","yes"
"Otolemur_crassicaudatus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",9942.08,9668,-2.76,"DIFFERENT","yes"
"Pithecia_monachus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",33783.78,32867,-2.71,"DIFFERENT","yes"
"Galago_senegalensis","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",4633.2,4512,-2.62,"DIFFERENT","yes"
"Pan_paniscus","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",275.1,282.3,2.62,"DIFFERENT","yes"
"Nycticebus_coucang","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",12065.64,11755,-2.57,"DIFFERENT","yes"
"Cheirogaleus_medius","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",3030.89,2961,-2.31,"DIFFERENT","yes"
"Propithecus_verreauxi","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",25772.2,25194,-2.24,"DIFFERENT","yes"
"Daubentonia_madagascariensis","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",43581.08,42611,-2.23,"DIFFERENT","yes"
"Microcebus_murinus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",1718.15,1680,-2.22,"DIFFERENT","yes"
"Saguinus_midas","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",36,36.8,2.22,"DIFFERENT","yes"
"Lepilemur_ruficaudatus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",7335.91,7175,-2.19,"DIFFERENT","yes"
"Miopithecus_talapoin","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",38610.04,37776,-2.16,"DIFFERENT","yes"
"Cercopithecus_ascanius","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",64671.81,63505,-1.8,"DIFFERENT","yes"
"Eulemur_fulvus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",22490.35,22106,-1.71,"DIFFERENT","yes"
"Papio_anubis","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",194015.44,190957,-1.58,"DIFFERENT","yes"
"Avahi_occidentalis","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",9124,9256.8,1.46,"DIFFERENT","yes"
"Callithrix_jacchus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",7335.91,7241,-1.29,"DIFFERENT","yes"
"Gorilla_gorilla","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",401785,,,"Stephan_only","yes"
"Pongo_abelii","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",333880,,,"Stephan_only","yes"
"Pongo_pygmaeus","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",347970,,,"Stephan_only","yes"
"Lagothrix_lagotricha","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",97490.35,,,"Stephan_only","yes"
"Plecturocebus_moloch","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",18339.77,,,"Stephan_only","yes"
"Tarsius_syrichta","Preferred brain volume","Preferred_brain_volume","Preferred_brain_volume",3474.9,,,"Stephan_only","yes"
"Callithrix_pygmaea","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",16.9,,,"Stephan_only","yes"
"Gorilla_gorilla","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",308.5,,,"Stephan_only","yes"
"Pongo_pygmaeus","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",259.1,,,"Stephan_only","yes"
"Lagothrix_lagotricha","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",164,,,"Stephan_only","yes"
"Plecturocebus_moloch","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",54.2,,,"Stephan_only","yes"
"Tarsius_syrichta","Corpus geniculatum laterale","LGN_Sousa","Corpus_geniculatum_laterale_Vol.mm3",20.8,,,"Stephan_only","yes"
"Pongo_pygmaeus","Amygdala","Amygdala","Amygdala_Vol.mm3",1400,,,"Stephan_only","yes"
"Tarsius_syrichta","Amygdala","Amygdala","Amygdala_Vol.mm3",49.8,,,"Stephan_only","yes"
"Avahi_laniger","Pallidum","Pallidum","Pallidum_Vol.mm3",74.5,,,"Stephan_only","yes"
"Gorilla_gorilla","Pallidum","Pallidum","Pallidum_Vol.mm3",2604,,,"Stephan_only","yes"
"Pongo_pygmaeus","Pallidum","Pallidum","Pallidum_Vol.mm3",1800,,,"Stephan_only","yes"
"Avahi_occidentalis","Pallidum","Pallidum","Pallidum_Vol.mm3",,74.5,,"volumes_wide_only","yes"
"Lagothrix_lagotricha","Pallidum","Pallidum","Pallidum_Vol.mm3",845,,,"Stephan_only","yes"
"Tarsius_syrichta","Pallidum","Pallidum","Pallidum_Vol.mm3",16.1,,,"Stephan_only","yes"
"Pongo_pygmaeus","Neocortex white","NeoW_Frahm","Neocortex_white_matter_Vol.mm3",81500,,,"Stephan_only","yes"
"Lagothrix_lagotricha","Neocortex white","NeoW_Frahm","Neocortex_white_matter_Vol.mm3",16727,,,"Stephan_only","yes"
"Tarsius_syrichta","Neocortex white","NeoW_Frahm","Neocortex_white_matter_Vol.mm3",137,,,"Stephan_only","yes"
"Avahi_laniger","Insular cortex (grey)","Total_insula_volume_L","Insula_left_Vol.mm3",38,,,"Stephan_only","yes"
"Callithrix_pygmaea","Insular cortex (grey)","Total_insula_volume_L","Insula_left_Vol.mm3",11,,,"Stephan_only","yes"
"Gorilla_gorilla","Insular cortex (grey)","Total_insula_volume_L","Insula_left_Vol.mm3",2146,,,"Stephan_only","yes"
"Pongo_abelii","Insular cortex (grey)","Total_insula_volume_L","Insula_left_Vol.mm3",1158,,,"Stephan_only","yes"
"Pongo_pygmaeus","Insular cortex (grey)","Total_insula_volume_L","Insula_left_Vol.mm3",1505,,,"Stephan_only","yes"
"Avahi_occidentalis","Insular cortex (grey)","Total_insula_volume_L","Insula_left_Vol.mm3",,38,,"volumes_wide_only","yes"
"Avahi_laniger","Nucleus subthalamicus Luysi","Nucleus_subthalamicus","Nucleus_subthalamicus_Vol.mm3",5.94,,,"Stephan_only","yes"
"Gorilla_gorilla","Nucleus subthalamicus Luysi","Nucleus_subthalamicus","Nucleus_subthalamicus_Vol.mm3",178,,,"Stephan_only","yes"
"Avahi_occidentalis","Nucleus subthalamicus Luysi","Nucleus_subthalamicus","Nucleus_subthalamicus_Vol.mm3",,5.94,,"volumes_wide_only","yes"
"Lagothrix_lagotricha","Nucleus subthalamicus Luysi","Nucleus_subthalamicus","Nucleus_subthalamicus_Vol.mm3",63.8,,,"Stephan_only","yes"
"Tarsius_syrichta","Nucleus subthalamicus Luysi","Nucleus_subthalamicus","Nucleus_subthalamicus_Vol.mm3",1.09,,,"Stephan_only","yes"
"Avahi_laniger","Capsula interna","Capsula_interna","Capsula_interna_Vol.mm3",105,,,"Stephan_only","yes"
"Gorilla_gorilla","Capsula interna","Capsula_interna","Capsula_interna_Vol.mm3",2471,,,"Stephan_only","yes"
"Avahi_occidentalis","Capsula interna","Capsula_interna","Capsula_interna_Vol.mm3",,105,,"volumes_wide_only","yes"
"Lagothrix_lagotricha","Capsula interna","Capsula_interna","Capsula_interna_Vol.mm3",612,,,"Stephan_only","yes"
"Tarsius_syrichta","Capsula interna","Capsula_interna","Capsula_interna_Vol.mm3",16.7,,,"Stephan_only","yes"
"Gorilla_gorilla","Striatum","Striatum","Striatum_Vol.mm3",14567,,,"Stephan_only","yes"
"Pongo_pygmaeus","Striatum","Striatum","Striatum_Vol.mm3",11500,,,"Stephan_only","yes"
"Lagothrix_lagotricha","Striatum","Striatum","Striatum_Vol.mm3",4947,,,"Stephan_only","yes"
"Plecturocebus_moloch","Striatum","Striatum","Striatum_Vol.mm3",920,,,"Stephan_only","yes"
"Tarsius_syrichta","Striatum","Striatum","Striatum_Vol.mm3",133,,,"Stephan_only","yes"
"Gorilla_gorilla","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",9129,,,"Stephan_only","yes"
"Pan_paniscus","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",11606.5,,,"Stephan_only","yes"
"Pongo_pygmaeus","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",8233.7,,,"Stephan_only","yes"
"Symphalangus_syndactylus","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",5468.9,,,"Stephan_only","yes"
"Lagothrix_lagotricha","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",4856,,,"Stephan_only","yes"
"Macaca_fascicularis","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",2713.3,,,"Stephan_only","yes"
"Plecturocebus_moloch","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",1201,,,"Stephan_only","yes"
"Tarsius_syrichta","Area striata grey","ASG_Sousa","Area_striata_grey_matter_Vol.mm3",349,,,"Stephan_only","yes"
"Pongo_pygmaeus","Neocortex grey","NeoG_Frahm","Neocortex_grey_matter_Vol.mm3",138300,,,"Stephan_only","yes"
"Lagothrix_lagotricha","Neocortex grey","NeoG_Frahm","Neocortex_grey_matter_Vol.mm3",49147,,,"Stephan_only","yes"
"Tarsius_syrichta","Neocortex grey","NeoG_Frahm","Neocortex_grey_matter_Vol.mm3",1631,,,"Stephan_only","yes"
"Gorilla_gorilla","Mesencephalon","Mesencephalon","Mesencephalon_Vol.mm3",4352,,,"Stephan_only","yes"
"Pongo_pygmaeus","Mesencephalon","Mesencephalon","Mesencephalon_Vol.mm3",4000,,,"Stephan_only","yes"
"Lagothrix_lagotricha","Mesencephalon","Mesencephalon","Mesencephalon_Vol.mm3",1582,,,"Stephan_only","yes"
"Plecturocebus_moloch","Mesencephalon","Mesencephalon","Mesencephalon_Vol.mm3",530,,,"Stephan_only","yes"
"Tarsius_syrichta","Mesencephalon","Mesencephalon","Mesencephalon_Vol.mm3",197,,,"Stephan_only","yes"
"Gorilla_gorilla","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",69249,,,"Stephan_only","yes"
"Pan_paniscus","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",,44175,,"volumes_wide_only","yes"
"Pongo_pygmaeus","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",42900,,,"Stephan_only","yes"
"Lagothrix_lagotricha","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",11268,,,"Stephan_only","yes"
"Plecturocebus_moloch","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",1622,,,"Stephan_only","yes"
"Tarsius_syrichta","Cerebellum","Cerebellum","Cerebellum_Vol.mm3",428,,,"Stephan_only","yes"
"Gorilla_gorilla","Hippocampus","Hippocampus","Hippocampus_Vol.mm3",4781,,,"Stephan_only","yes"
"Pongo_pygmaeus","Hippocampus","Hippocampus","Hippocampus_Vol.mm3",2700,,,"Stephan_only","yes"
"Lagothrix_lagotricha","Hippocampus","Hippocampus","Hippocampus_Vol.mm3",1586,,,"Stephan_only","yes"
"Plecturocebus_moloch","Hippocampus","Hippocampus","Hippocampus_Vol.mm3",588,,,"Stephan_only","yes"
"Tarsius_syrichta","Hippocampus","Hippocampus","Hippocampus_Vol.mm3",153,,,"Stephan_only","yes"
"Gorilla_gorilla","Nucleus dentatus cerebelli","Lateral_cerebellar_nuclei","Lateral_cerebellar_nuclei_Vol.mm3",534.6,,,"Stephan_only","yes"
"Lagothrix_lagotricha","Nucleus dentatus cerebelli","Lateral_cerebellar_nuclei","Lateral_cerebellar_nuclei_Vol.mm3",108.57,,,"Stephan_only","yes"
"Plecturocebus_moloch","Nucleus dentatus cerebelli","Lateral_cerebellar_nuclei","Lateral_cerebellar_nuclei_Vol.mm3",21.24,,,"Stephan_only","yes"
"Tarsius_syrichta","Nucleus dentatus cerebelli","Lateral_cerebellar_nuclei","Lateral_cerebellar_nuclei_Vol.mm3",3.37,,,"Stephan_only","yes"
